Distribution of neutrino fluxes in the BP00 standard solar model model.

astro-ph/0010346

Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
   cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass
5) X(^7Be): beryllium-7 mass fraction
   [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone

The integrated fluxes given in Table7 of BP00 are listed below:


 5.95E+00 1.400E-02 9.3E-07 4.77E-01 5.05E-04 5.48E-02 4.80E-02 5.63E-04

The Table begins here.

0.00650 15.681 2.009 3.049E-05 1.732E-11 1.891E-04 2.376E-03 1.900E-03 2.172E-03 2.241E-03 9.527E-04 2.981E-04 7.734E-05
0.00661 15.681 2.009 1.437E-06 1.732E-11 8.912E-06 1.119E-04 8.950E-05 1.023E-04 1.056E-04 4.489E-05 1.405E-05 3.646E-06
0.00671 15.680 2.009 1.505E-06 1.732E-11 9.333E-06 1.171E-04 9.367E-05 1.070E-04 1.105E-04 4.699E-05 1.471E-05 3.818E-06
0.00681 15.680 2.009 1.575E-06 1.731E-11 9.773E-06 1.226E-04 9.803E-05 1.120E-04 1.156E-04 4.919E-05 1.541E-05 3.999E-06
0.00692 15.679 2.009 1.650E-06 1.731E-11 1.023E-05 1.283E-04 1.026E-04 1.172E-04 1.210E-04 5.149E-05 1.613E-05 4.188E-06
0.00702 15.679 2.009 1.727E-06 1.731E-11 1.072E-05 1.342E-04 1.073E-04 1.226E-04 1.266E-04 5.391E-05 1.689E-05 4.387E-06
0.00713 15.678 2.009 1.809E-06 1.730E-11 1.122E-05 1.405E-04 1.123E-04 1.283E-04 1.325E-04 5.643E-05 1.769E-05 4.594E-06
0.00724 15.677 2.009 1.894E-06 1.730E-11 1.175E-05 1.470E-04 1.175E-04 1.343E-04 1.386E-04 5.907E-05 1.852E-05 4.812E-06
0.00735 15.677 2.009 1.983E-06 1.729E-11 1.231E-05 1.538E-04 1.230E-04 1.405E-04 1.451E-04 6.183E-05 1.939E-05 5.040E-06
0.00747 15.676 2.009 2.077E-06 1.729E-11 1.289E-05 1.609E-04 1.287E-04 1.470E-04 1.518E-04 6.473E-05 2.030E-05 5.279E-06
0.00758 15.676 2.009 2.175E-06 1.728E-11 1.349E-05 1.684E-04 1.346E-04 1.538E-04 1.588E-04 6.776E-05 2.126E-05 5.529E-06
0.00770 15.675 2.009 2.277E-06 1.728E-11 1.413E-05 1.762E-04 1.408E-04 1.609E-04 1.662E-04 7.092E-05 2.226E-05 5.791E-06
0.00782 15.674 2.009 2.384E-06 1.727E-11 1.480E-05 1.843E-04 1.474E-04 1.684E-04 1.739E-04 7.424E-05 2.331E-05 6.065E-06
0.00794 15.674 2.009 2.497E-06 1.727E-11 1.549E-05 1.929E-04 1.541E-04 1.762E-04 1.819E-04 7.770E-05 2.441E-05 6.353E-06
0.00807 15.673 2.009 2.615E-06 1.726E-11 1.623E-05 2.018E-04 1.613E-04 1.843E-04 1.903E-04 8.134E-05 2.555E-05 6.655E-06
0.00819 15.672 2.009 2.738E-06 1.726E-11 1.699E-05 2.111E-04 1.687E-04 1.928E-04 1.991E-04 8.513E-05 2.676E-05 6.970E-06
0.00832 15.672 2.008 2.867E-06 1.725E-11 1.779E-05 2.209E-04 1.765E-04 2.017E-04 2.083E-04 8.911E-05 2.802E-05 7.301E-06
0.00845 15.671 2.008 3.002E-06 1.725E-11 1.863E-05 2.311E-04 1.846E-04 2.110E-04 2.179E-04 9.328E-05 2.934E-05 7.648E-06
0.00858 15.670 2.008 3.143E-06 1.724E-11 1.951E-05 2.417E-04 1.931E-04 2.207E-04 2.279E-04 9.763E-05 3.072E-05 8.011E-06
0.00871 15.669 2.008 3.291E-06 1.724E-11 2.043E-05 2.529E-04 2.020E-04 2.308E-04 2.385E-04 1.022E-04 3.216E-05 8.391E-06
0.00884 15.668 2.008 3.447E-06 1.723E-11 2.140E-05 2.645E-04 2.113E-04 2.414E-04 2.494E-04 1.070E-04 3.368E-05 8.790E-06
0.00898 15.668 2.008 3.609E-06 1.722E-11 2.241E-05 2.767E-04 2.210E-04 2.525E-04 2.609E-04 1.119E-04 3.526E-05 9.207E-06
0.00912 15.667 2.008 3.779E-06 1.722E-11 2.346E-05 2.894E-04 2.311E-04 2.641E-04 2.729E-04 1.172E-04 3.692E-05 9.645E-06
0.00926 15.666 2.008 3.957E-06 1.721E-11 2.457E-05 3.027E-04 2.417E-04 2.762E-04 2.854E-04 1.226E-04 3.866E-05 1.010E-05
0.00941 15.665 2.008 4.144E-06 1.720E-11 2.573E-05 3.166E-04 2.528E-04 2.889E-04 2.985E-04 1.283E-04 4.048E-05 1.058E-05
0.00955 15.664 2.008 4.339E-06 1.720E-11 2.694E-05 3.312E-04 2.643E-04 3.021E-04 3.122E-04 1.343E-04 4.238E-05 1.109E-05
0.00970 15.663 2.008 4.544E-06 1.719E-11 2.822E-05 3.463E-04 2.765E-04 3.159E-04 3.265E-04 1.405E-04 4.437E-05 1.161E-05
0.00985 15.662 2.008 4.758E-06 1.718E-11 2.955E-05 3.622E-04 2.891E-04 3.304E-04 3.415E-04 1.471E-04 4.646E-05 1.217E-05
0.01000 15.661 2.008 4.982E-06 1.717E-11 3.094E-05 3.788E-04 3.024E-04 3.454E-04 3.571E-04 1.539E-04 4.865E-05 1.275E-05
0.01016 15.660 2.008 5.217E-06 1.716E-11 3.240E-05 3.961E-04 3.161E-04 3.612E-04 3.734E-04 1.611E-04 5.094E-05 1.335E-05
0.01032 15.659 2.008 5.463E-06 1.716E-11 3.393E-05 4.142E-04 3.305E-04 3.776E-04 3.904E-04 1.686E-04 5.333E-05 1.399E-05
0.01048 15.657 2.008 5.720E-06 1.715E-11 3.553E-05 4.331E-04 3.456E-04 3.949E-04 4.083E-04 1.764E-04 5.584E-05 1.465E-05
0.01064 15.656 2.007 5.990E-06 1.714E-11 3.721E-05 4.529E-04 3.613E-04 4.128E-04 4.269E-04 1.846E-04 5.847E-05 1.535E-05
0.01080 15.655 2.007 6.272E-06 1.713E-11 3.897E-05 4.735E-04 3.776E-04 4.315E-04 4.462E-04 1.932E-04 6.122E-05 1.609E-05
0.01097 15.654 2.007 6.567E-06 1.712E-11 4.081E-05 4.950E-04 3.947E-04 4.511E-04 4.665E-04 2.021E-04 6.410E-05 1.685E-05
0.01114 15.652 2.007 6.877E-06 1.711E-11 4.273E-05 5.175E-04 4.127E-04 4.715E-04 4.877E-04 2.115E-04 6.711E-05 1.765E-05
0.01131 15.651 2.007 7.201E-06 1.710E-11 4.475E-05 5.410E-04 4.314E-04 4.928E-04 5.098E-04 2.213E-04 7.026E-05 1.850E-05
0.01149 15.650 2.007 7.540E-06 1.709E-11 4.687E-05 5.655E-04 4.508E-04 5.151E-04 5.329E-04 2.315E-04 7.357E-05 1.938E-05
0.01167 15.648 2.007 7.896E-06 1.708E-11 4.908E-05 5.911E-04 4.711E-04 5.383E-04 5.570E-04 2.422E-04 7.703E-05 2.031E-05
0.01185 15.647 2.007 8.268E-06 1.707E-11 5.140E-05 6.178E-04 4.923E-04 5.626E-04 5.822E-04 2.534E-04 8.065E-05 2.127E-05
0.01203 15.645 2.007 8.658E-06 1.705E-11 5.382E-05 6.457E-04 5.144E-04 5.879E-04 6.085E-04 2.651E-04 8.444E-05 2.229E-05
0.01222 15.644 2.007 9.066E-06 1.704E-11 5.637E-05 6.749E-04 5.378E-04 6.143E-04 6.359E-04 2.774E-04 8.841E-05 2.336E-05
0.01241 15.642 2.006 9.493E-06 1.703E-11 5.903E-05 7.052E-04 5.619E-04 6.419E-04 6.644E-04 2.902E-04 9.256E-05 2.447E-05
