 Distribution of neutrino fluxes in the BS05(AGS,OP) standard solar model model.

astro-ph/0412440

The cumulative neutrino fluxes from Table 1 of BS05(AGS,OP) are given in the row below.
 
 6.058E+00 1.453E-02 8.254E-07 4.338E-01 4.508E-04 2.007E-02 1.445E-02 3.254E-04 

 
Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
  cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass 
5) X(^7Be): beryllium-7 mass fraction
  [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone 
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone
 
 0.00041 15.476 2.011 5.990e-08 1.578e-11 3.882e-07 4.741e-06 2.829e-06 3.926e-06 4.336e-06 1.910e-06 6.067e-07 1.661e-07 
 0.00082 15.476 2.011 1.754e-07 1.578e-11 1.137e-06 1.388e-05 8.279e-06 1.149e-05 1.269e-05 5.593e-06 1.776e-06 4.865e-07 
 0.00123 15.476 2.011 2.910e-07 1.578e-11 1.886e-06 2.302e-05 1.372e-05 1.904e-05 2.102e-05 9.278e-06 2.948e-06 8.074e-07 
 0.00164 15.475 2.011 4.485e-07 1.578e-11 2.907e-06 3.545e-05 2.113e-05 2.933e-05 3.238e-05 1.430e-05 4.543e-06 1.245e-06 
 0.00205 15.475 2.011 6.690e-07 1.577e-11 4.336e-06 5.285e-05 3.152e-05 4.374e-05 4.830e-05 2.132e-05 6.776e-06 1.857e-06 
 0.00246 15.474 2.011 9.336e-07 1.577e-11 6.050e-06 7.368e-05 4.397e-05 6.102e-05 6.737e-05 2.973e-05 9.454e-06 2.591e-06 
 0.00287 15.473 2.011 1.242e-06 1.576e-11 8.050e-06 9.794e-05 5.846e-05 8.113e-05 8.958e-05 3.954e-05 1.258e-05 3.448e-06 
 0.00328 15.473 2.011 1.595e-06 1.576e-11 1.033e-05 1.256e-04 7.499e-05 1.041e-04 1.149e-04 5.074e-05 1.614e-05 4.428e-06 
 0.00369 15.472 2.011 1.991e-06 1.575e-11 1.290e-05 1.566e-04 9.353e-05 1.298e-04 1.433e-04 6.331e-05 2.015e-05 5.530e-06 
 0.00410 15.471 2.011 2.431e-06 1.574e-11 1.575e-05 1.910e-04 1.141e-04 1.583e-04 1.748e-04 7.726e-05 2.461e-05 6.755e-06 
 0.00451 15.469 2.011 2.915e-06 1.573e-11 1.889e-05 2.286e-04 1.366e-04 1.896e-04 2.093e-04 9.257e-05 2.950e-05 8.103e-06 
 0.00492 15.468 2.011 3.443e-06 1.572e-11 2.231e-05 2.696e-04 1.611e-04 2.235e-04 2.468e-04 1.092e-04 3.483e-05 9.574e-06 
 0.00533 15.467 2.011 4.014e-06 1.571e-11 2.601e-05 3.137e-04 1.875e-04 2.602e-04 2.872e-04 1.273e-04 4.060e-05 1.117e-05 
 0.00574 15.465 2.011 4.629e-06 1.570e-11 3.000e-05 3.611e-04 2.158e-04 2.995e-04 3.305e-04 1.466e-04 4.681e-05 1.288e-05 
 0.00615 15.464 2.011 5.287e-06 1.569e-11 3.426e-05 4.115e-04 2.460e-04 3.414e-04 3.768e-04 1.673e-04 5.346e-05 1.472e-05 
 0.00656 15.462 2.010 5.989e-06 1.567e-11 3.881e-05 4.651e-04 2.781e-04 3.859e-04 4.258e-04 1.893e-04 6.054e-05 1.669e-05 
 0.00697 15.460 2.010 6.734e-06 1.566e-11 4.364e-05 5.217e-04 3.119e-04 4.329e-04 4.777e-04 2.126e-04 6.805e-05 1.877e-05 
 0.00738 15.458 2.010 7.522e-06 1.564e-11 4.874e-05 5.813e-04 3.476e-04 4.824e-04 5.322e-04 2.372e-04 7.599e-05 2.098e-05 
 0.00779 15.456 2.010 8.353e-06 1.563e-11 5.413e-05 6.437e-04 3.850e-04 5.344e-04 5.895e-04 2.630e-04 8.437e-05 2.332e-05 
 0.00820 15.454 2.010 9.227e-06 1.561e-11 5.979e-05 7.091e-04 4.242e-04 5.887e-04 6.493e-04 2.901e-04 9.316e-05 2.577e-05 
 0.00861 15.452 2.010 1.014e-05 1.559e-11 6.574e-05 7.772e-04 4.650e-04 6.454e-04 7.117e-04 3.185e-04 1.024e-04 2.835e-05 
 0.00902 15.450 2.010 1.110e-05 1.558e-11 7.195e-05 8.480e-04 5.075e-04 7.043e-04 7.766e-04 3.481e-04 1.120e-04 3.106e-05 
 0.00943 15.447 2.009 1.210e-05 1.556e-11 7.845e-05 9.215e-04 5.516e-04 7.655e-04 8.440e-04 3.789e-04 1.221e-04 3.389e-05 
 0.00984 15.445 2.009 1.315e-05 1.554e-11 8.521e-05 9.975e-04 5.973e-04 8.289e-04 9.137e-04 4.109e-04 1.326e-04 3.684e-05 
 0.01025 15.442 2.009 1.423e-05 1.551e-11 9.225e-05 1.076e-03 6.444e-04 8.944e-04 9.857e-04 4.441e-04 1.435e-04 3.992e-05 
 0.01066 15.439 2.009 1.536e-05 1.549e-11 9.957e-05 1.157e-03 6.931e-04 9.619e-04 1.060e-03 4.785e-04 1.548e-04 4.312e-05 
 0.01107 15.436 2.009 1.653e-05 1.547e-11 1.072e-04 1.240e-03 7.432e-04 1.031e-03 1.136e-03 5.140e-04 1.665e-04 4.645e-05 
 0.01148 15.433 2.008 1.774e-05 1.545e-11 1.150e-04 1.326e-03 7.947e-04 1.103e-03 1.215e-03 5.506e-04 1.786e-04 4.990e-05 
 0.01189 15.430 2.008 1.900e-05 1.542e-11 1.231e-04 1.414e-03 8.475e-04 1.176e-03 1.295e-03 5.883e-04 1.912e-04 5.348e-05 
 0.01230 15.427 2.008 2.029e-05 1.540e-11 1.315e-04 1.504e-03 9.016e-04 1.251e-03 1.378e-03 6.271e-04 2.041e-04 5.718e-05 
 0.01270 15.424 2.008 2.163e-05 1.537e-11 1.402e-04 1.595e-03 9.570e-04 1.328e-03 1.462e-03 6.669e-04 2.175e-04 6.101e-05 
 0.01311 15.420 2.008 2.301e-05 1.534e-11 1.491e-04 1.689e-03 1.014e-03 1.407e-03 1.548e-03 7.078e-04 2.312e-04 6.497e-05 
 0.01352 15.417 2.007 2.442e-05 1.532e-11 1.583e-04 1.785e-03 1.071e-03 1.487e-03 1.636e-03 7.497e-04 2.453e-04 6.905e-05 
 0.01393 15.413 2.007 2.588e-05 1.529e-11 1.677e-04 1.882e-03 1.130e-03 1.568e-03 1.725e-03 7.926e-04 2.598e-04 7.325e-05 
 0.01434 15.409 2.007 2.738e-05 1.526e-11 1.775e-04 1.981e-03 1.190e-03 1.651e-03 1.816e-03 8.365e-04 2.747e-04 7.758e-05 
 0.01475 15.405 2.007 2.892e-05 1.523e-11 1.874e-04 2.081e-03 1.251e-03 1.735e-03 1.908e-03 8.813e-04 2.900e-04 8.204e-05 
 0.01516 15.402 2.006 3.050e-05 1.520e-11 1.977e-04 2.183e-03 1.312e-03 1.821e-03 2.002e-03 9.270e-04 3.056e-04 8.663e-05 
 0.01557 15.397 2.006 3.212e-05 1.516e-11 2.081e-04 2.287e-03 1.375e-03 1.908e-03 2.097e-03 9.736e-04 3.216e-04 9.134e-05 
 0.01598 15.393 2.006 3.377e-05 1.513e-11 2.189e-04 2.391e-03 1.438e-03 1.996e-03 2.193e-03 1.021e-03 3.380e-04 9.618e-05 
 0.01639 15.389 2.005 3.547e-05 1.510e-11 2.299e-04 2.497e-03 1.502e-03 2.085e-03 2.290e-03 1.069e-03 3.548e-04 1.011e-04 
 0.01680 15.385 2.005 3.721e-05 1.506e-11 2.411e-04 2.603e-03 1.567e-03 2.175e-03 2.388e-03 1.119e-03 3.719e-04 1.062e-04 
 0.01721 15.380 2.005 3.898e-05 1.503e-11 2.526e-04 2.711e-03 1.633e-03 2.266e-03 2.488e-03 1.168e-03 3.894e-04 1.115e-04 
