 Distribution of neutrino fluxes in the BS05(OP) standard solar model model.

astro-ph/0412440

The cumulative neutrino fluxes from Table 1 of BS05(OP) are given in the row below.
 
 5.991E+00 1.421E-02 7.930E-07 4.844E-01 5.691E-04 3.066E-02 2.331E-02 5.836E-04 

 
Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
   cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass 
5) X(^7Be): beryllium-7 mass fraction
   [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone 
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone
 
 0.00041 15.669 2.013 6.121e-08 1.713e-11 3.852e-07 4.706e-06 3.040e-06 3.998e-06 4.384e-06 1.890e-06 6.080e-07 1.592e-07 
 0.00082 15.669 2.013 1.780e-07 1.713e-11 1.120e-06 1.368e-05 8.834e-06 1.162e-05 1.274e-05 5.495e-06 1.768e-06 4.630e-07 
 0.00123 15.668 2.013 2.950e-07 1.713e-11 1.857e-06 2.267e-05 1.463e-05 1.924e-05 2.109e-05 9.108e-06 2.931e-06 7.677e-07 
 0.00164 15.668 2.013 4.561e-07 1.712e-11 2.871e-06 3.502e-05 2.260e-05 2.972e-05 3.258e-05 1.408e-05 4.530e-06 1.187e-06 
 0.00205 15.667 2.013 6.803e-07 1.712e-11 4.282e-06 5.221e-05 3.370e-05 4.433e-05 4.860e-05 2.099e-05 6.757e-06 1.771e-06 
 0.00246 15.667 2.013 9.493e-07 1.712e-11 5.975e-06 7.279e-05 4.701e-05 6.183e-05 6.779e-05 2.928e-05 9.428e-06 2.471e-06 
 0.00287 15.666 2.013 1.263e-06 1.711e-11 7.949e-06 9.675e-05 6.250e-05 8.221e-05 9.013e-05 3.894e-05 1.254e-05 3.289e-06 
 0.00328 15.665 2.012 1.621e-06 1.710e-11 1.020e-05 1.241e-04 8.017e-05 1.055e-04 1.156e-04 4.996e-05 1.610e-05 4.223e-06 
 0.00369 15.664 2.012 2.024e-06 1.709e-11 1.274e-05 1.547e-04 9.999e-05 1.315e-04 1.442e-04 6.234e-05 2.010e-05 5.275e-06 
 0.00410 15.663 2.012 2.472e-06 1.709e-11 1.556e-05 1.887e-04 1.220e-04 1.604e-04 1.759e-04 7.608e-05 2.454e-05 6.444e-06 
 0.00451 15.662 2.012 2.964e-06 1.708e-11 1.866e-05 2.259e-04 1.460e-04 1.921e-04 2.106e-04 9.116e-05 2.942e-05 7.730e-06 
 0.00492 15.661 2.012 3.501e-06 1.707e-11 2.203e-05 2.663e-04 1.722e-04 2.265e-04 2.483e-04 1.076e-04 3.474e-05 9.133e-06 
 0.00533 15.659 2.012 4.081e-06 1.706e-11 2.569e-05 3.100e-04 2.004e-04 2.636e-04 2.890e-04 1.253e-04 4.050e-05 1.065e-05 
 0.00574 15.658 2.012 4.707e-06 1.704e-11 2.963e-05 3.568e-04 2.307e-04 3.034e-04 3.326e-04 1.444e-04 4.669e-05 1.229e-05 
 0.00615 15.656 2.012 5.376e-06 1.703e-11 3.384e-05 4.067e-04 2.630e-04 3.459e-04 3.791e-04 1.648e-04 5.332e-05 1.405e-05 
 0.00656 15.654 2.012 6.089e-06 1.702e-11 3.833e-05 4.596e-04 2.972e-04 3.910e-04 4.285e-04 1.864e-04 6.038e-05 1.592e-05 
 0.00697 15.653 2.012 6.846e-06 1.700e-11 4.310e-05 5.156e-04 3.334e-04 4.386e-04 4.806e-04 2.094e-04 6.787e-05 1.792e-05 
 0.00738 15.651 2.011 7.647e-06 1.699e-11 4.815e-05 5.745e-04 3.716e-04 4.887e-04 5.355e-04 2.336e-04 7.580e-05 2.003e-05 
 0.00779 15.648 2.011 8.492e-06 1.697e-11 5.347e-05 6.362e-04 4.115e-04 5.413e-04 5.931e-04 2.591e-04 8.415e-05 2.226e-05 
 0.00820 15.646 2.011 9.380e-06 1.696e-11 5.907e-05 7.008e-04 4.534e-04 5.964e-04 6.533e-04 2.858e-04 9.293e-05 2.461e-05 
 0.00861 15.644 2.011 1.031e-05 1.694e-11 6.494e-05 7.682e-04 4.970e-04 6.537e-04 7.161e-04 3.138e-04 1.021e-04 2.707e-05 
 0.00902 15.642 2.011 1.129e-05 1.692e-11 7.109e-05 8.383e-04 5.424e-04 7.134e-04 7.814e-04 3.430e-04 1.118e-04 2.966e-05 
 0.00943 15.639 2.011 1.231e-05 1.690e-11 7.751e-05 9.110e-04 5.895e-04 7.754e-04 8.492e-04 3.734e-04 1.218e-04 3.237e-05 
 0.00984 15.636 2.010 1.337e-05 1.688e-11 8.420e-05 9.863e-04 6.383e-04 8.395e-04 9.193e-04 4.049e-04 1.323e-04 3.519e-05 
 0.01025 15.634 2.010 1.447e-05 1.686e-11 9.116e-05 1.064e-03 6.886e-04 9.058e-04 9.918e-04 4.377e-04 1.432e-04 3.814e-05 
 0.01066 15.631 2.010 1.562e-05 1.684e-11 9.839e-05 1.144e-03 7.406e-04 9.742e-04 1.066e-03 4.715e-04 1.544e-04 4.121e-05 
 0.01107 15.628 2.010 1.681e-05 1.681e-11 1.059e-04 1.227e-03 7.941e-04 1.045e-03 1.143e-03 5.066e-04 1.661e-04 4.439e-05 
 0.01148 15.625 2.010 1.804e-05 1.679e-11 1.137e-04 1.311e-03 8.491e-04 1.117e-03 1.222e-03 5.427e-04 1.783e-04 4.770e-05 
 0.01189 15.621 2.009 1.931e-05 1.677e-11 1.217e-04 1.398e-03 9.054e-04 1.191e-03 1.303e-03 5.799e-04 1.908e-04 5.113e-05 
 0.01230 15.618 2.009 2.063e-05 1.674e-11 1.300e-04 1.487e-03 9.632e-04 1.267e-03 1.386e-03 6.182e-04 2.037e-04 5.468e-05 
 0.01270 15.615 2.009 2.198e-05 1.671e-11 1.386e-04 1.578e-03 1.022e-03 1.345e-03 1.471e-03 6.575e-04 2.170e-04 5.835e-05 
 0.01311 15.611 2.009 2.338e-05 1.669e-11 1.474e-04 1.671e-03 1.083e-03 1.424e-03 1.558e-03 6.979e-04 2.307e-04 6.214e-05 
 0.01352 15.608 2.008 2.482e-05 1.666e-11 1.565e-04 1.766e-03 1.144e-03 1.505e-03 1.646e-03 7.393e-04 2.448e-04 6.606e-05 
 0.01393 15.604 2.008 2.630e-05 1.663e-11 1.658e-04 1.862e-03 1.207e-03 1.587e-03 1.736e-03 7.816e-04 2.593e-04 7.010e-05 
 0.01434 15.600 2.008 2.783e-05 1.660e-11 1.755e-04 1.960e-03 1.271e-03 1.671e-03 1.827e-03 8.250e-04 2.742e-04 7.426e-05 
 0.01475 15.596 2.008 2.939e-05 1.657e-11 1.853e-04 2.060e-03 1.335e-03 1.757e-03 1.920e-03 8.692e-04 2.894e-04 7.854e-05 
 0.01516 15.592 2.007 3.099e-05 1.654e-11 1.955e-04 2.161e-03 1.401e-03 1.843e-03 2.014e-03 9.144e-04 3.051e-04 8.295e-05 
 0.01557 15.588 2.007 3.264e-05 1.651e-11 2.058e-04 2.264e-03 1.468e-03 1.931e-03 2.110e-03 9.605e-04 3.211e-04 8.748e-05 
 0.01598 15.583 2.007 3.432e-05 1.647e-11 2.165e-04 2.367e-03 1.536e-03 2.020e-03 2.206e-03 1.007e-03 3.375e-04 9.213e-05 
 0.01639 15.579 2.006 3.604e-05 1.644e-11 2.274e-04 2.472e-03 1.604e-03 2.110e-03 2.304e-03 1.055e-03 3.542e-04 9.691e-05 
 0.01680 15.574 2.006 3.781e-05 1.640e-11 2.385e-04 2.578e-03 1.673e-03 2.201e-03 2.403e-03 1.104e-03 3.713e-04 1.018e-04 
 0.01721 15.570 2.006 3.961e-05 1.637e-11 2.499e-04 2.685e-03 1.743e-03 2.293e-03 2.503e-03 1.153e-03 3.888e-04 1.068e-04 
